Tempo: 5, Valor de Saída: x
Tempo: 2875, Valor de Saída: 22747
Tempo: 2885, Valor de Saída: 23272
Tempo: 2895, Valor de Saída: 60023
Tempo: 2905, Valor de Saída: 46314
Tempo: 2915, Valor de Saída: 50
Tempo: 2925, Valor de Saída: 53013
Tempo: 2935, Valor de Saída: 18331
Tempo: 2945, Valor de Saída: 12817
Tempo: 2955, Valor de Saída: 17071
Tempo: 2965, Valor de Saída: 63211
Tempo: 2975, Valor de Saída: 50460
Tempo: 2985, Valor de Saída: 19473
Tempo: 2995, Valor de Saída: 28934
Tempo: 3005, Valor de Saída: 60180
Tempo: 3015, Valor de Saída: 14418
Tempo: 3025, Valor de Saída: 39533
Tempo: 3035, Valor de Saída: 56494
Tempo: 3045, Valor de Saída: 46985
Tempo: 3055, Valor de Saída: 29214
Tempo: 3065, Valor de Saída: 43874
Tempo: 3075, Valor de Saída: 55738
Tempo: 3085, Valor de Saída: 27892
Tempo: 3095, Valor de Saída: 16717
Tempo: 3105, Valor de Saída: 2559
Tempo: 3115, Valor de Saída: 44345
Tempo: 3125, Valor de Saída: 7115
Tempo: 3135, Valor de Saída: 29328
Tempo: 3145, Valor de Saída: 18884
Tempo: 3155, Valor de Saída: 45734
Tempo: 3165, Valor de Saída: 54078
Tempo: 3175, Valor de Saída: 56214
Tempo: 3185, Valor de Saída: 64741
Tempo: 3195, Valor de Saída: 13078
Tempo: 3205, Valor de Saída: 41482
Tempo: 3215, Valor de Saída: 18668
Tempo: 3225, Valor de Saída: 44606
Tempo: 3235, Valor de Saída: 31926
Tempo: 3245, Valor de Saída: 39279
Tempo: 3255, Valor de Saída: 34388
Tempo: 3265, Valor de Saída: 60999
Tempo: 3275, Valor de Saída: 59227
Tempo: 3285, Valor de Saída: 52301
Tempo: 3295, Valor de Saída: 28957
Tempo: 3305, Valor de Saída: 22510
Tempo: 3315, Valor de Saída: 49296
Tempo: 3325, Valor de Saída: 18582
Tempo: 3335, Valor de Saída: 52259
Tempo: 3345, Valor de Saída: 27811
Tempo: 3355, Valor de Saída: 21999
Tempo: 3365, Valor de Saída: 7474
Tempo: 3375, Valor de Saída: 27933
Tempo: 3385, Valor de Saída: 49817
Tempo: 3395, Valor de Saída: 63055
Tempo: 3405, Valor de Saída: 22648
Tempo: 3415, Valor de Saída: 8925
Tempo: 3425, Valor de Saída: 60034
Tempo: 3435, Valor de Saída: 62575
Tempo: 3445, Valor de Saída: 3920
Tempo: 3455, Valor de Saída: 48644
Tempo: 3465, Valor de Saída: 29609
Tempo: 3475, Valor de Saída: 41399
Tempo: 3485, Valor de Saída: 20789
Tempo: 3495, Valor de Saída: 4089
Tempo: 3505, Valor de Saída: 60877
Tempo: 3515, Valor de Saída: 18863
Tempo: 3525, Valor de Saída: 10010
Tempo: 3535, Valor de Saída: 57753
Tempo: 3545, Valor de Saída: 58800
Tempo: 3555, Valor de Saída: 15076
Tempo: 3565, Valor de Saída: 42350
Tempo: 3575, Valor de Saída: 2905
Tempo: 3585, Valor de Saída: 62342
Tempo: 3595, Valor de Saída: 53159
Tempo: 3605, Valor de Saída: 57670
Tempo: 3615, Valor de Saída: 22639
Tempo: 3625, Valor de Saída: 40049
Tempo: 3635, Valor de Saída: 19847
Tempo: 3645, Valor de Saída: 58086
Tempo: 3655, Valor de Saída: 40611
Tempo: 3665, Valor de Saída: 31760
Tempo: 3675, Valor de Saída: 3049
Tempo: 3685, Valor de Saída: 49582
Tempo: 3695, Valor de Saída: 42607
Tempo: 3705, Valor de Saída: 7007
Tempo: 3715, Valor de Saída: 21647
Tempo: 3725, Valor de Saída: 34213
Tempo: 3735, Valor de Saída: 17674
Tempo: 3745, Valor de Saída: 2544
Tempo: 3755, Valor de Saída: 31378
Tempo: 3765, Valor de Saída: 17588
Tempo: 3775, Valor de Saída: 18933
Tempo: 3785, Valor de Saída: 56487
Tempo: 3795, Valor de Saída: 52842
Tempo: 3805, Valor de Saída: 2470
Tempo: 3815, Valor de Saída: 32692
Tempo: 3825, Valor de Saída: 7959
Tempo: 3835, Valor de Saída: 41412
Tempo: 3845, Valor de Saída: 60713
Tempo: 3855, Valor de Saída: 48987
Tempo: 3865, Valor de Saída: 24745
Tempo: 3875, Valor de Saída: 15272
Tempo: 3885, Valor de Saída: 62694
Tempo: 3895, Valor de Saída: 52857
Tempo: 3905, Valor de Saída: 12957
Tempo: 3915, Valor de Saída: 63381
Tempo: 3925, Valor de Saída: 13999
Tempo: 3935, Valor de Saída: 34068
Tempo: 3945, Valor de Saída: 9738
Tempo: 3955, Valor de Saída: 7232
Tempo: 3965, Valor de Saída: 49185
Tempo: 3975, Valor de Saída: 44875
Tempo: 3985, Valor de Saída: 51984
Tempo: 3995, Valor de Saída: 136
Tempo: 4005, Valor de Saída: 42143
Tempo: 4015, Valor de Saída: 8770
Tempo: 4025, Valor de Saída: 46129
Tempo: 4035, Valor de Saída: 61756
Tempo: 4045, Valor de Saída: 61413
Tempo: 4055, Valor de Saída: 41976
Tempo: 4065, Valor de Saída: 26923
Tempo: 4075, Valor de Saída: 16500
Tempo: 4085, Valor de Saída: 46946
Tempo: 4095, Valor de Saída: 4538
Tempo: 4105, Valor de Saída: 33347
Tempo: 4115, Valor de Saída: 15081
Tempo: 4125, Valor de Saída: 1596
Tempo: 4135, Valor de Saída: 12943
Tempo: 4145, Valor de Saída: 36137
Tempo: 4155, Valor de Saída: 13838
Tempo: 4165, Valor de Saída: 61546
Tempo: 4175, Valor de Saída: 55214
Tempo: 4185, Valor de Saída: 6327
Tempo: 4195, Valor de Saída: 31634
Tempo: 4205, Valor de Saída: 32973
Tempo: 4215, Valor de Saída: 53798
Tempo: 4225, Valor de Saída: 46716
Tempo: 4235, Valor de Saída: 24265
Tempo: 4245, Valor de Saída: 52357
Tempo: 4255, Valor de Saída: 61877
Tempo: 4265, Valor de Saída: 61779
Tempo: 4275, Valor de Saída: 11959
Tempo: 4285, Valor de Saída: 57736
Tempo: 4295, Valor de Saída: 1590
Tempo: 4305, Valor de Saída: 24600
Tempo: 4315, Valor de Saída: 14676
Tempo: 4325, Valor de Saída: 51908
Tempo: 4335, Valor de Saída: 56670
Tempo: 4345, Valor de Saída: 36264
Tempo: 4355, Valor de Saída: 54450
Tempo: 4365, Valor de Saída: 40892
Tempo: 4375, Valor de Saída: 19560
Tempo: 4385, Valor de Saída: 2866
Tempo: 4395, Valor de Saída: 18057
Tempo: 4405, Valor de Saída: 28131
Tempo: 4415, Valor de Saída: 7494
Tempo: 4425, Valor de Saída: 28194
Tempo: 4435, Valor de Saída: 60666
Tempo: 4445, Valor de Saída: 17352
Tempo: 4455, Valor de Saída: 9462
Tempo: 4465, Valor de Saída: 15501
Tempo: 4475, Valor de Saída: 2793
Tempo: 4485, Valor de Saída: 13358
Tempo: 4495, Valor de Saída: 12976
Tempo: 4505, Valor de Saída: 4998
Tempo: 4515, Valor de Saída: 64723
Tempo: 4525, Valor de Saída: 20284
Tempo: 4535, Valor de Saída: 4976
Tempo: 4545, Valor de Saída: 29235
Tempo: 4555, Valor de Saída: 132
Tempo: 4565, Valor de Saída: 40413
Tempo: 4575, Valor de Saída: 39827
Tempo: 4585, Valor de Saída: 64249
Tempo: 4595, Valor de Saída: 32381
Tempo: 4605, Valor de Saída: 15733
Tempo: 4615, Valor de Saída: 38937
Tempo: 4625, Valor de Saída: 12225
Tempo: 4635, Valor de Saída: 44923
Tempo: 4645, Valor de Saída: 12290
Tempo: 4655, Valor de Saída: 55604
Tempo: 4665, Valor de Saída: 42625
Tempo: 4675, Valor de Saída: 62191
Tempo: 4685, Valor de Saída: 36046
Tempo: 4695, Valor de Saída: 11705
Tempo: 4705, Valor de Saída: 60709
Tempo: 4715, Valor de Saída: 36580
Tempo: 4725, Valor de Saída: 25570
Tempo: 4735, Valor de Saída: 27440
Tempo: 4745, Valor de Saída: 38919
Tempo: 4755, Valor de Saída: 56326
Tempo: 4765, Valor de Saída: 49722
Tempo: 4775, Valor de Saída: 22513
Tempo: 4785, Valor de Saída: 12267
Tempo: 4795, Valor de Saída: 9296
Tempo: 4805, Valor de Saída: 47335
Tempo: 4815, Valor de Saída: 52510
Tempo: 4825, Valor de Saída: 18658
Tempo: 4835, Valor de Saída: 46903
Tempo: 4845, Valor de Saída: 22886
Tempo: 4855, Valor de Saída: 37898
Tempo: 4865, Valor de Saída: 29428
Tempo: 4875, Valor de Saída: 59309
Tempo: 4885, Valor de Saída: 45814
Tempo: 4895, Valor de Saída: 33942
Tempo: 4905, Valor de Saída: 16854
Tempo: 4915, Valor de Saída: 2766
Tempo: 4925, Valor de Saída: 55147
Tempo: 4935, Valor de Saída: 27219
Tempo: 4945, Valor de Saída: 16580
Tempo: 4955, Valor de Saída: 26568
Tempo: 4965, Valor de Saída: 54619
